192,64
3338,253
1632,2144
1505,79
461,461
4634,4051
3185,535
2251,36
1397,3654
1300,3667
4643,4770
195,2393
4762,3105
2555,4858
3862,2282
1414,4833
1358,987
1887,2788
1515,4969
4572,4143
4456,1591
3349,1646
826,4809
969,4487
2149,3814
2786,4006
4498,141
3902,2529
3366,2547
2980,4147
1932,3195
2753,2919
2571,1121
2194,4364
2235,683
1345,4545
3168,3530
1094,559
1978,4687
2278,2440
35,3715
1618,1003
2879,103
35,1433
1251,4770
353,4775
566,2674
3811,4802
522,239
2219,578
4964,1332
740,527
2249,4491
4018,4247
2895,1852
2064,483
2365,1090
3652,4424
1592,380
474,2398
4095,1891
3094,4713
3611,4198
1781,1962
3848,3553
2538,1898
3483,4878
3124,1552
4713,4039
2005,4962
83,424
3723,3087
3162,2556
4819,2766
4677,1570
2770,3458
1729,3224
3830,3573
2816,3830
3259,1854
565,2728
3236,3530
2953,3860
3518,4905
2277,3777
3424,3250
210,114
1576,3599
3742,1981
1561,4455
875,2864
2705,3394
3365,3635
4287,1443
3736,1912
1869,3199
1729,646
109,2608
1867,1846
447,543
3522,1311
2821,2780
4782,3454
3917,4360
4885,556
4793,4229
280,1822
3376,3898
2026,2534
299,3793
4353,572
2046,4275
4486,479
1364,3250
3950,3145
2842,3570
2205,2514
4875,1729
1402,118
674,4964
1768,4353
2360,1745
1449,2211
3536,640
2550,2204
3195,1770
3326,2308
2999,605
1372,1894
911,326
3576,1792
951,4735
4704,4153
3571,1765
4182,867
1236,261
2970,807
371,4118
3012,867
3705,555
2993,95
3089,4784
4226,3411
4331,128
2090,2419
3240,916
3871,995
2852,4459
4410,3149
129,3139
2968,4556
2593,4040
2283,617
1716,1935
3990,2949
3271,2922
3771,3260
504,3275
2426,4183
831,2163
1229,1053
4463,1056
4774,873
989,761
60,887
4862,3122
4864,280
1166,3846
2747,2572
2303,3300
3417,2531
771,2960
3914,2632
4138,2755
4461,2363
4080,3918
939,3047
3400,1908
4935,1796
3654,4064
2424,907
1317,1547
1288,2198
2556,1880
3533,1942
2050,3629
4070,4511
144,1053
3487,1646
1191,553
2884,3409
2119,2484
573,1732
4441,2534
4127,1032
2919,99
4737,1299
2307,4884
4573,2409
4766,3421
2338,3962
3240,760
1779,6
1650,2938
2315,2829
4758,2738
2876,949
1637,1506
4552,284
1107,1035
1462,2265
69,2223
1599,1922
4171,2394
655,1455
1834,1481
2663,218
597,2590
3665,4912
2673,3216
2467,3894
4221,1329
1364,4530
2316,1214
4996,3315
3588,2242
312,1483
3558,1425
3010,1933
1327,1034
913,4051
4489,2573
4185,2804
2794,2492
1124,1276
347,3886
2715,524
4006,793
1074,2154
2661,1521
3226,2759
2501,127
1324,3509
964,3216
1314,2385
1566,3331
3751,799
640,3974
3078,4343
2750,2967
4939,1687
80,380
1585,50
3500,4133
4693,1958
1447,1953
277,435
1910,293
1762,297
3594,693
205,2535
1388,4004
773,4751
3363,731
2269,3412
3019,4250
847,1745
1628,2352
4022,3828
2622,3031
2371,99
2056,865
3588,1580
4326,2863
289,797
2727,2182
2636,2306
4144,395
1784,307
1138,2362
909,1794
129,2964
1560,1152
3855,3085
4467,4036
2797,2314
3025,186
4527,4730
3190,2992
913,981
2931,3885
825,2680
4468,2620
4790,2662
1173,3846
2335,2805
3709,4111
909,4068
2843,1451
951,3930
3235,4089
2726,3675
4073,3152
3138,4204
3585,3462
3186,4347
1623,3684
1243,392
1454,4938
3631,2
4173,189
379,1357
4709,2382
1448,3686
888,4195
2953,2795
3687,310
2543,489
1039,3014
90,3404
4230,720
4324,4290
2314,544
492,4535
1456,3565
1180,261
4939,528
1427,3139
3352,3880
496,4949
2875,650
663,4361
3263,481
2556,3375
4153,3714
3835,745
4940,2501
3645,4480
3093,1254
2414,1500
931,2705
2025,3304
770,974
2215,567
4548,4943
3921,154
4111,4723
296,1177
4831,1864
2599,1689
3613,3184
970,3425
143,606
3389,4602
2376,3606
4129,1130
3254,2621
20,3301
2540,954
2843,2784
2609,3710
39,3071
4384,1527
770,3249
595,1517
2259,4377
2926,2225
2941,1248
1864,1704
3101,2951
817,3591
4298,3559
1116,2243
2692,4343
2328,2969
2049,280
4978,3059
2678,3464
2292,1131
3666,869
3116,3312
1209,4003
2372,3013
429,1957
4177,1769
2737,2103
4823,3030
2207,1099
1462,3391
4670,1930
2699,2519
2106,4891
278,3152
3314,2364
3287,1049
2966,2772
735,4590
899,1653
2092,3384
1908,4775
3556,3125
567,146
681,1700
117,1009
2719,1361
1387,150
2796,1445
493,1375
3895,4453
3515,4079
2061,967
3429,4285
4015,2515
1109,4739
973,3935
3062,684
2211,2405
1061,4664
4729,4815
1234,851
1826,1354
1193,2095
3635,4132
3706,4302
1758,1094
4617,1528
3802,3834
2144,4088
2452,1892
4592,79
3712,859
2526,4637
3527,2105
1721,4341
2111,4300
4519,4045
2929,2155
957,1420
3503,2586
4469,3555
145,318
1075,1981
3349,4330
3336,2814
207,4350
956,299
4137,338
4556,2952
746,2550
959,4382
3102,2530
622,4672
6,478
4191,3575
2103,4793
3338,4837
65,4862
4463,4576
1733,680
3588,136
2965,2375
4680,3224
4253,1287
2901,635
1488,1728
585,2660
4946,4179
4474,1301
4616,431
2810,6
1372,4076
1160,1122
1585,2928
990,2916
2017,1214
4922,455
1005,2843
1542,540
4305,2544
3393,694
4673,939
848,1772
1785,4155
2230,2141
458,4764
1822,4661
1897,1665
1639,2744
38,4222
3534,3004
1768,1064
830,3676
3975,881
4994,1622
3731,1131
3383,904
1104,3170
786,3643
4422,3441
779,743
4777,2869
4935,1349
62,3095
1734,3412
2063,2575
3811,3327
3128,3901
1741,609
1935,2685
3144,1974
1222,1291
2918,4463
4268,40
4548,1638
2113,4822
1687,4419
3395,3050
2985,1882
1581,2622
3321,1605
570,1487
4818,1807
3258,3451
3305,2265
1457,2565
1233,4905
3797,537
2037,2466
3936,3747
3582,3271
3754,4187
949,1806
682,1275
2434,4673
1082,3572
2194,1394
291,4090
556,4823
68,94
123,4466
2652,2699
1868,4526
1638,177
4849,1883
1088,2355
1901,2090
1461,4508
2019,395
4485,1417
1936,3446
3621,4914
1002,2005
3167,3281
698,550
4235,2888
4118,492
1579,1682
2666,2300
2788,2830
2581,4922
732,4006
3708,2334
49,4935
1795,3802
294,3051
4263,4593
1071,1277
3701,829
4327,242
422,2373
521,2569
3834,198
907,2982
252,1865
4147,3651
3968,703
1481,4418
1929,1974
1710,3916
3100,988
3228,2635
276,2431
3340,2490
4718,1055
3498,561
3208,4099
4234,2789
875,3536
4408,3454
3551,4928
2317,911
1423,2925
3373,2094
3304,4486
2753,4966
3146,3561
4326,3102
2493,428
1307,2921
51,4079
2615,2364
796,3978
4549,2930
